Algorithm,Dataset,maxPer,minDur,maxSoPer,Runtime_ms,Memory_MB,Patterns
LPP-Growth,retail,10,50,3,52,48.5,1245
LPP-Growth,retail,20,50,3,61,49.2,1089
LPP-Growth,retail,30,50,3,71,50.1,892
LPPM-Breadth,retail,10,50,3,108,98.3,1245
LPPM-Breadth,retail,20,50,3,125,99.1,1089
LPPM-Breadth,retail,30,50,3,152,100.5,892
LPPM-Depth,retail,10,50,3,156,78.2,1245
LPPM-Depth,retail,20,50,3,189,79.5,1089
LPPM-Depth,retail,30,50,3,223,81.3,892
LPP-Growth,kosarak,10,50,3,487,189.5,5632
LPP-Growth,kosarak,20,50,3,598,190.2,4521
LPP-Growth,kosarak,30,50,3,712,191.8,3456
LPPM-Breadth,kosarak,10,50,3,-1,-1,-1
LPPM-Breadth,kosarak,20,50,3,-1,-1,-1
LPPM-Breadth,kosarak,30,50,3,-1,-1,-1
LPPM-Depth,kosarak,10,50,3,-1,-1,-1
LPPM-Depth,kosarak,20,50,3,-1,-1,-1
LPPM-Depth,kosarak,30,50,3,-1,-1,-1
