Algorithm,Dataset,maxPer,minDur,maxSoPer,Seq_ms,Par_ms,Speedup,Efficiency_pct,Threads,Match
LPP-Growth,retail,10,50,3,52,28,1.86,46.5,4,YES
LPP-Growth,retail,20,50,3,61,32,1.91,47.8,4,YES
LPP-Growth,retail,30,50,3,71,38,1.87,46.8,4,YES
LPPM-Breadth,retail,10,50,3,108,62,1.74,43.5,4,YES
LPPM-Breadth,retail,20,50,3,125,71,1.76,44.0,4,YES
LPPM-Breadth,retail,30,50,3,152,87,1.75,43.8,4,YES
LPPM-Depth,retail,10,50,3,156,85,1.84,46.0,4,YES
LPPM-Depth,retail,20,50,3,189,103,1.84,46.0,4,YES
LPPM-Depth,retail,30,50,3,223,122,1.83,45.8,4,YES
LPP-Growth,kosarak,10,50,3,487,268,1.82,45.5,4,YES
LPP-Growth,kosarak,20,50,3,598,328,1.82,45.5,4,YES
LPP-Growth,kosarak,30,50,3,712,391,1.82,45.5,4,YES
LPPM-Breadth,kosarak,10,50,3,-1,-1,-1,-1,4,NO
LPPM-Breadth,kosarak,20,50,3,-1,-1,-1,-1,4,NO
LPPM-Breadth,kosarak,30,50,3,-1,-1,-1,-1,4,NO
LPPM-Depth,kosarak,10,50,3,-1,-1,-1,-1,4,NO
LPPM-Depth,kosarak,20,50,3,-1,-1,-1,-1,4,NO
LPPM-Depth,kosarak,30,50,3,-1,-1,-1,-1,4,NO
